,model,problem,level,Average accuracy,Failure,difference,weighted_accuracy,weighted_failed,lvl_correctness,is_close
7,Yi-34b,edpResults,8,0.0,0.0,3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
8,Yi-34b,edpResults,9,0.0,0.0,3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
9,Yi-34b,edpResults,10,0.4,0.0,3,0.07272727272727272,0.0,"[False, False, False, True, True, False, False, True, False, True]",False
0,MPT-30b,edpResults,1,0.0,1.0,4,0.0,0.1,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
1,MPT-30b,edpResults,2,0.0,0.7,4,0.0,0.06999999999999999,"['failed', False, False, 'failed', 'failed', 'failed', False, 'failed', 'failed', 'failed']",False
2,MPT-30b,edpResults,3,0.0,0.5,4,0.0,0.05,"[False, False, 'failed', 'failed', False, 'failed', 'failed', 'failed', False, False]",False
3,MPT-30b,edpResults,4,0.0,1.0,4,0.0,0.1,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
4,MPT-30b,edpResults,5,0.0,0.5,4,0.0,0.05,"['failed', 'failed', 'failed', 'failed', False, False, False, False, 'failed', False]",False
5,MPT-30b,edpResults,6,0.0,1.0,4,0.0,0.1,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
6,MPT-30b,edpResults,7,0.0,1.0,4,0.0,0.1,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
7,MPT-30b,edpResults,8,0.0,0.7,4,0.0,0.06999999999999999,"['failed', 'failed', 'failed', 'failed', False, 'failed', 'failed', False, False, 'failed']",False
8,MPT-30b,edpResults,9,0.0,0.8,4,0.0,0.08,"['failed', 'failed', 'failed', False, False, 'failed', 'failed', 'failed', 'failed', 'failed']",False
9,MPT-30b,edpResults,10,0.0,0.9,4,0.0,0.09,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', False]",False
0,Vicuna-13b,edpResults,6,0.0,0.4,-5,0.0,0.08,"['failed', False, 'failed', False, False, 'failed', False, 'failed', False, False]",False
1,Vicuna-13b,edpResults,7,0.0,1.0,-5,0.0,0.2,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
2,Vicuna-13b,edpResults,8,0.0,0.0,-5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
3,Vicuna-13b,edpResults,9,0.0,0.9,-5,0.0,0.18,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', False, 'failed', 'failed']",False
4,Vicuna-13b,edpResults,10,0.0,0.0,-5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
0,Qwen-14b,edpResults,1,0.5,0.0,3,0.00909090909090909,0.0,"[False, True, False, False, True, False, True, True, True, False]",False
1,Qwen-14b,edpResults,2,0.8,0.0,3,0.02909090909090909,0.0,"[True, True, True, True, True, False, True, True, False, True]",False
2,Qwen-14b,edpResults,3,0.4,0.0,3,0.02181818181818182,0.0,"[False, False, False, False, False, True, False, True, True, True]",False
3,Qwen-14b,edpResults,4,0.0,0.0,3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
4,Qwen-14b,edpResults,5,0.1,0.0,3,0.00909090909090909,0.0,"[False, False, True, False, False, False, False, False, False, False]",False
5,Qwen-14b,edpResults,6,0.1,0.0,3,0.01090909090909091,0.0,"[False, False, False, True, False, False, False, False, False, False]",False
6,Qwen-14b,edpResults,7,0.0,0.0,3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
7,Qwen-14b,edpResults,8,0.3,0.0,3,0.04363636363636363,0.0,"[True, False, True, False, False, False, False, False, False, True]",False
8,Qwen-14b,edpResults,9,0.1,0.0,3,0.016363636363636365,0.0,"[False, False, True, False, False, False, False, False, False, False]",False
9,Qwen-14b,edpResults,10,0.0,0.0,3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
0,Yi-34b,edpResults,2,0.1,0.0,-1,0.003703703703703704,0.0,"[False, False, False, False, False, False, False, True, False, False]",False
1,Yi-34b,edpResults,3,0.1,0.0,-1,0.005555555555555557,0.0,"[False, False, False, False, False, False, False, False, True, False]",False
2,Yi-34b,edpResults,4,0.1,0.0,-1,0.007407407407407408,0.0,"[True, False, False, False, False, False, False, False, False, False]",False
3,Yi-34b,edpResults,5,0.5,0.0,-1,0.046296296296296294,0.0,"[False, False, False, True, False, True, True, False, True, True]",False
4,Yi-34b,edpResults,6,0.2,0.0,-1,0.022222222222222227,0.0,"[True, False, False, True, False, False, False, False, False, False]",False
5,Yi-34b,edpResults,7,0.0,0.0,-1,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
6,Yi-34b,edpResults,8,0.0,0.0,-1,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
7,Yi-34b,edpResults,9,0.3,0.0,-1,0.049999999999999996,0.0,"[True, False, True, False, False, False, False, False, False, True]",False
8,Yi-34b,edpResults,10,0.0,0.0,-1,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
0,Qwen-14b,edpResults,6,0.0,0.2,-5,0.0,0.04,"[False, False, False, 'failed', False, False, False, 'failed', False, False]",False
1,Qwen-14b,edpResults,7,0.0,1.0,-5,0.0,0.2,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
2,Qwen-14b,edpResults,8,0.0,0.0,-5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
3,Qwen-14b,edpResults,9,0.0,0.4,-5,0.0,0.08,"['failed', 'failed', False, False, False, False, 'failed', False, 'failed', False]",False
4,Qwen-14b,edpResults,10,0.0,0.0,-5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
0,Phi-1.5,edpResults,4,0.2,0.7,-3,0.0163265306122449,0.09999999999999999,"['failed', 'failed', 'failed', 'failed', 'failed', False, True, 'failed', True, 'failed']",False
1,Phi-1.5,edpResults,5,0.0,1.0,-3,0.0,0.14285714285714285,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
2,Phi-1.5,edpResults,6,0.2,0.1,-3,0.02448979591836735,0.014285714285714287,"[True, 'failed', False, False, False, False, True, False, False, False]",False
3,Phi-1.5,edpResults,7,0.0,1.0,-3,0.0,0.14285714285714285,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
4,Phi-1.5,edpResults,8,0.6,0.0,-3,0.09795918367346938,0.0,"[True, False, True, True, True, True, False, False, False, True]",False
5,Phi-1.5,edpResults,9,0.6,0.0,-3,0.11020408163265305,0.0,"[True, True, False, True, True, True, False, False, True, False]",False
6,Phi-1.5,edpResults,10,0.4,0.0,-3,0.08163265306122448,0.0,"[False, True, True, False, False, False, True, False, False, True]",False
0,Phi-1.5,edpResults,3,0.1,0.7,-2,0.00576923076923077,0.0875,"['failed', 'failed', 'failed', 'failed', True, False, 'failed', False, 'failed', 'failed']",False
1,Phi-1.5,edpResults,4,0.0,1.0,-2,0.0,0.125,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
2,Phi-1.5,edpResults,5,0.3,0.1,-2,0.028846153846153848,0.0125,"[True, True, False, False, False, False, True, False, 'failed', False]",False
3,Phi-1.5,edpResults,6,0.0,1.0,-2,0.0,0.125,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
4,Phi-1.5,edpResults,7,0.6,0.0,-2,0.08076923076923077,0.0,"[True, False, True, True, True, True, False, False, False, True]",False
5,Phi-1.5,edpResults,8,0.6,0.0,-2,0.0923076923076923,0.0,"[True, True, False, True, True, True, False, False, True, False]",False
6,Phi-1.5,edpResults,9,0.4,0.0,-2,0.06923076923076923,0.0,"[False, True, True, False, False, False, True, False, False, True]",False
7,Phi-1.5,edpResults,10,0.3,0.0,-2,0.057692307692307696,0.0,"[True, False, True, False, False, False, False, False, False, True]",False
0,Qwen-14b,edpResults,5,0.0,0.1,-4,0.0,0.016666666666666666,"[False, False, False, False, False, 'failed', False, False, False, False]",False
1,Qwen-14b,edpResults,6,0.0,0.8,-4,0.0,0.13333333333333333,"['failed', False, 'failed', 'failed', False, 'failed', 'failed', 'failed', 'failed', 'failed']",False
2,Qwen-14b,edpResults,7,0.0,0.0,-4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
3,Qwen-14b,edpResults,8,0.0,0.5,-4,0.0,0.08333333333333333,"[False, False, 'failed', False, 'failed', 'failed', False, 'failed', 'failed', False]",False
4,Qwen-14b,edpResults,9,0.0,0.0,-4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
5,Qwen-14b,edpResults,10,0.0,0.0,-4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
0,Qwen-14b,edpResults,1,0.7,0.0,2,0.012727272727272726,0.0,"[True, True, True, True, True, True, False, False, False, True]",False
1,Qwen-14b,edpResults,2,0.3,0.2,2,0.010909090909090908,0.02,"[False, True, True, False, True, False, False, 'failed', False, 'failed']",False
2,Qwen-14b,edpResults,3,0.4,0.0,2,0.02181818181818182,0.0,"[False, False, False, False, False, True, False, True, True, True]",False
3,Qwen-14b,edpResults,4,0.2,0.0,2,0.014545454545454545,0.0,"[False, False, False, False, False, True, False, False, True, False]",False
4,Qwen-14b,edpResults,5,0.6,0.0,2,0.05454545454545454,0.0,"[True, False, True, True, True, True, False, False, False, True]",False
5,Qwen-14b,edpResults,6,0.0,0.0,2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
6,Qwen-14b,edpResults,7,0.0,0.0,2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
7,Qwen-14b,edpResults,8,0.3,0.0,2,0.04363636363636363,0.0,"[True, False, True, False, False, False, False, False, False, True]",False
8,Qwen-14b,edpResults,9,0.1,0.0,2,0.016363636363636365,0.0,"[False, False, True, False, False, False, False, False, False, False]",False
9,Qwen-14b,edpResults,10,0.5,0.0,2,0.09090909090909091,0.0,"[False, False, False, True, True, True, False, True, False, True]",False
0,Vicuna-13b,edpResults,5,0.0,0.4,-4,0.0,0.06666666666666667,"[False, 'failed', False, 'failed', False, 'failed', 'failed', False, False, False]",False
1,Vicuna-13b,edpResults,6,0.0,1.0,-4,0.0,0.16666666666666666,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
2,Vicuna-13b,edpResults,7,0.0,0.0,-4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
3,Vicuna-13b,edpResults,8,0.0,0.9,-4,0.0,0.15,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', False, 'failed', 'failed']",False
4,Vicuna-13b,edpResults,9,0.0,0.0,-4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
5,Vicuna-13b,edpResults,10,0.2,0.0,-4,0.044444444444444446,0.0,"[True, False, False, False, False, True, False, False, False, False]",False
0,MPT-30b,edpResults,1,0.1,0.9,5,0.0018181818181818182,0.09,"['failed', 'failed', True, 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
1,MPT-30b,edpResults,2,0.0,0.3,5,0.0,0.03,"[False, 'failed', 'failed', False, False, False, 'failed', False, False, False]",False
2,MPT-30b,edpResults,3,0.0,1.0,5,0.0,0.1,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
3,MPT-30b,edpResults,4,0.1,0.7,5,0.007272727272727273,0.06999999999999999,"['failed', False, 'failed', False, 'failed', True, 'failed', 'failed', 'failed', 'failed']",False
4,MPT-30b,edpResults,5,0.0,1.0,5,0.0,0.1,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
5,MPT-30b,edpResults,6,0.0,0.7,5,0.0,0.06999999999999999,"['failed', False, False, False, 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
6,MPT-30b,edpResults,7,0.0,0.7,5,0.0,0.06999999999999999,"['failed', 'failed', 'failed', 'failed', False, False, False, 'failed', 'failed', 'failed']",False
7,MPT-30b,edpResults,8,0.0,0.9,5,0.0,0.09,"['failed', False, 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
8,MPT-30b,edpResults,9,0.0,1.0,5,0.0,0.1,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
9,MPT-30b,edpResults,10,0.0,1.0,5,0.0,0.1,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
0,Yi-34b,edpResults,1,0.9,0.0,2,0.016363636363636365,0.0,"[True, True, True, True, False, True, True, True, True, True]",False
1,Yi-34b,edpResults,2,0.4,0.0,2,0.014545454545454545,0.0,"[True, False, False, False, True, False, False, True, True, False]",False
2,Yi-34b,edpResults,3,0.3,0.0,2,0.01636363636363636,0.0,"[True, True, False, False, False, False, False, False, True, False]",False
3,Yi-34b,edpResults,4,0.0,0.0,2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
4,Yi-34b,edpResults,5,0.3,0.0,2,0.02727272727272727,0.0,"[True, False, True, False, False, False, False, False, False, True]",False
5,Yi-34b,edpResults,6,0.0,0.0,2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
6,Yi-34b,edpResults,7,0.0,0.0,2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
7,Yi-34b,edpResults,8,0.2,0.0,2,0.02909090909090909,0.0,"[True, False, True, False, False, False, False, False, False, False]",False
8,Yi-34b,edpResults,9,0.0,0.0,2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
9,Yi-34b,edpResults,10,0.5,0.0,2,0.09090909090909091,0.0,"[False, False, False, True, True, True, False, True, False, True]",False
0,Phi-2,edpResults,1,0.5,0.0,4,0.00909090909090909,0.0,"[True, True, False, False, False, False, True, False, True, True]",False
1,Phi-2,edpResults,2,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
2,Phi-2,edpResults,3,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
3,Phi-2,edpResults,4,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
4,Phi-2,edpResults,5,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
5,Phi-2,edpResults,6,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
6,Phi-2,edpResults,7,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
7,Phi-2,edpResults,8,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
8,Phi-2,edpResults,9,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
9,Phi-2,edpResults,10,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
0,MPT-30b,edpResults,4,0.0,0.6,-3,0.0,0.08571428571428572,"['failed', False, False, 'failed', 'failed', 'failed', 'failed', False, 'failed', False]",False
1,MPT-30b,edpResults,5,0.0,0.8,-3,0.0,0.1142857142857143,"['failed', False, 'failed', False, 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
2,MPT-30b,edpResults,6,0.0,1.0,-3,0.0,0.14285714285714285,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
3,MPT-30b,edpResults,7,0.0,1.0,-3,0.0,0.14285714285714285,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
4,MPT-30b,edpResults,8,0.0,1.0,-3,0.0,0.14285714285714285,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
5,MPT-30b,edpResults,9,0.0,1.0,-3,0.0,0.14285714285714285,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
6,MPT-30b,edpResults,10,0.0,0.7,-3,0.0,0.09999999999999999,"['failed', False, False, 'failed', 'failed', 'failed', 'failed', 'failed', False, 'failed']",False
0,Mistral-7b,edpResults,6,0.1,0.5,-5,0.015000000000000003,0.1,"['failed', True, 'failed', False, 'failed', False, 'failed', False, 'failed', False]",False
1,Mistral-7b,edpResults,7,0.0,0.0,-5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
2,Mistral-7b,edpResults,8,0.0,0.0,-5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
3,Mistral-7b,edpResults,9,0.0,0.2,-5,0.0,0.04,"[False, 'failed', False, False, False, False, 'failed', False, False, False]",False
4,Mistral-7b,edpResults,10,0.0,0.0,-5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
0,Vicuna-13b,edpResults,4,0.0,0.2,-3,0.0,0.028571428571428574,"[False, 'failed', 'failed', False, False, False, False, False, False, False]",False
1,Vicuna-13b,edpResults,5,0.0,1.0,-3,0.0,0.14285714285714285,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
2,Vicuna-13b,edpResults,6,0.0,0.0,-3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
3,Vicuna-13b,edpResults,7,0.0,1.0,-3,0.0,0.14285714285714285,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
4,Vicuna-13b,edpResults,8,0.1,0.1,-3,0.0163265306122449,0.014285714285714287,"[True, False, False, False, False, False, False, False, 'failed', False]",False
5,Vicuna-13b,edpResults,9,0.5,0.0,-3,0.09183673469387756,0.0,"[True, True, False, False, True, True, False, False, True, False]",False
6,Vicuna-13b,edpResults,10,0.0,0.0,-3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
0,Qwen-14b,edpResults,1,0.8,0.0,5,0.014545454545454545,0.0,"[True, True, True, True, True, True, False, False, True, True]",False
1,Qwen-14b,edpResults,2,0.7,0.0,5,0.025454545454545452,0.0,"[True, False, True, True, True, False, True, True, False, True]",False
2,Qwen-14b,edpResults,3,0.3,0.0,5,0.01636363636363636,0.0,"[True, False, False, False, False, True, True, False, False, False]",False
3,Qwen-14b,edpResults,4,0.0,0.0,5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
4,Qwen-14b,edpResults,5,0.5,0.0,5,0.045454545454545456,0.0,"[True, False, True, True, True, True, False, False, False, False]",False
5,Qwen-14b,edpResults,6,0.0,0.0,5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
6,Qwen-14b,edpResults,7,0.0,0.0,5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
7,Qwen-14b,edpResults,8,0.3,0.0,5,0.04363636363636363,0.0,"[True, False, True, False, False, False, False, False, False, True]",False
8,Qwen-14b,edpResults,9,0.0,0.0,5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
9,Qwen-14b,edpResults,10,0.0,0.0,5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
0,Vicuna-13b,edpResults,1,0.0,1.0,1,0.0,0.1,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
1,Vicuna-13b,edpResults,2,0.4,0.0,1,0.014545454545454545,0.0,"[True, False, False, True, False, False, False, True, True, False]",False
2,Vicuna-13b,edpResults,3,0.0,0.9,1,0.0,0.09,"['failed', 'failed', 'failed', False, 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
3,Vicuna-13b,edpResults,4,0.7,0.0,1,0.050909090909090904,0.0,"[False, True, True, True, True, True, False, True, True, False]",False
4,Vicuna-13b,edpResults,5,0.4,0.0,1,0.03636363636363636,0.0,"[True, False, False, False, False, False, True, True, True, False]",False
5,Vicuna-13b,edpResults,6,0.1,0.0,1,0.01090909090909091,0.0,"[True, False, False, False, False, False, False, False, False, False]",False
6,Vicuna-13b,edpResults,7,0.0,0.0,1,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
7,Vicuna-13b,edpResults,8,0.1,0.0,1,0.014545454545454545,0.0,"[False, False, False, False, False, False, False, False, False, True]",False
8,Vicuna-13b,edpResults,9,0.2,0.0,1,0.03272727272727273,0.0,"[False, False, False, False, False, False, False, True, True, False]",False
9,Vicuna-13b,edpResults,10,0.0,0.0,1,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
0,Phi-2,edpResults,2,0.2,0.0,-1,0.007407407407407408,0.0,"[False, False, False, False, False, False, False, False, True, True]",False
1,Phi-2,edpResults,3,0.0,1.0,-1,0.0,0.1111111111111111,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
2,Phi-2,edpResults,4,0.3,0.0,-1,0.022222222222222223,0.0,"[True, True, False, False, False, False, True, False, False, False]",False
3,Phi-2,edpResults,5,0.1,0.5,-1,0.009259259259259259,0.05555555555555555,"['failed', False, True, 'failed', False, 'failed', False, 'failed', False, 'failed']",False
4,Phi-2,edpResults,6,0.6,0.0,-1,0.06666666666666667,0.0,"[True, False, True, True, True, True, False, False, False, True]",False
5,Phi-2,edpResults,7,0.6,0.0,-1,0.07777777777777778,0.0,"[True, True, False, True, True, True, False, False, True, False]",False
6,Phi-2,edpResults,8,0.4,0.0,-1,0.05925925925925926,0.0,"[False, True, True, False, False, False, True, False, False, True]",False
7,Phi-2,edpResults,9,0.3,0.0,-1,0.049999999999999996,0.0,"[True, False, True, False, False, False, False, False, False, True]",False
8,Phi-2,edpResults,10,0.3,0.0,-1,0.05555555555555555,0.0,"[False, False, True, False, False, False, False, True, True, False]",False
0,Qwen-14b,edpResults,4,0.0,0.2,-3,0.0,0.028571428571428574,"['failed', False, False, False, False, False, 'failed', False, False, False]",False
1,Qwen-14b,edpResults,5,0.0,0.1,-3,0.0,0.014285714285714287,"['failed', False, False, False, False, False, False, False, False, False]",False
2,Qwen-14b,edpResults,6,0.0,0.0,-3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
3,Qwen-14b,edpResults,7,0.0,0.4,-3,0.0,0.05714285714285715,"['failed', False, False, False, False, 'failed', False, 'failed', 'failed', False]",False
4,Qwen-14b,edpResults,8,0.0,0.0,-3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
5,Qwen-14b,edpResults,9,0.0,0.0,-3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
6,Qwen-14b,edpResults,10,0.0,0.0,-3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
0,Phi-1.5,edpResults,6,0.1,0.8,-5,0.015000000000000003,0.16,"['failed', 'failed', 'failed', 'failed', 'failed', False, 'failed', 'failed', 'failed', True]",False
1,Phi-1.5,edpResults,7,0.0,1.0,-5,0.0,0.2,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
2,Phi-1.5,edpResults,8,0.2,0.4,-5,0.04,0.08,"[True, True, False, False, 'failed', False, 'failed', False, 'failed', 'failed']",False
3,Phi-1.5,edpResults,9,0.0,1.0,-5,0.0,0.2,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
4,Phi-1.5,edpResults,10,0.6,0.0,-5,0.15,0.0,"[True, False, True, True, True, True, False, False, False, True]",False
0,Mistral-7b,edpResults,3,0.1,0.2,-2,0.00576923076923077,0.025,"[False, 'failed', False, False, 'failed', False, False, False, True, False]",False
1,Mistral-7b,edpResults,4,0.3,0.0,-2,0.023076923076923075,0.0,"[False, False, True, False, False, False, False, True, True, False]",False
2,Mistral-7b,edpResults,5,0.0,0.0,-2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
3,Mistral-7b,edpResults,6,0.2,0.0,-2,0.02307692307692308,0.0,"[False, True, False, False, False, True, False, False, False, False]",False
4,Mistral-7b,edpResults,7,0.0,0.0,-2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
5,Mistral-7b,edpResults,8,0.0,0.0,-2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
6,Mistral-7b,edpResults,9,0.0,0.0,-2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
7,Mistral-7b,edpResults,10,0.2,0.0,-2,0.038461538461538464,0.0,"[True, False, False, False, False, False, False, False, False, True]",False
0,Mistral-7b,edpResults,1,0.5,0.0,1,0.00909090909090909,0.0,"[True, True, False, False, True, True, True, False, False, False]",False
1,Mistral-7b,edpResults,2,0.7,0.0,1,0.025454545454545452,0.0,"[False, False, True, True, True, True, True, True, True, False]",False
2,Mistral-7b,edpResults,3,0.2,0.0,1,0.01090909090909091,0.0,"[False, False, False, False, True, False, False, False, False, True]",False
3,Mistral-7b,edpResults,4,0.1,0.0,1,0.007272727272727273,0.0,"[False, False, False, False, False, False, False, True, False, False]",False
4,Mistral-7b,edpResults,5,0.0,0.0,1,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
5,Mistral-7b,edpResults,6,0.0,0.0,1,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
6,Mistral-7b,edpResults,7,0.0,0.0,1,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
7,Mistral-7b,edpResults,8,0.0,0.0,1,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
8,Mistral-7b,edpResults,9,0.0,0.0,1,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
9,Mistral-7b,edpResults,10,0.2,0.0,1,0.03636363636363636,0.0,"[False, False, False, False, False, True, False, False, False, True]",False
0,MPT-30b,edpResults,5,0.0,0.2,-4,0.0,0.03333333333333333,"[False, 'failed', False, False, False, False, False, False, False, 'failed']",False
1,MPT-30b,edpResults,6,0.0,1.0,-4,0.0,0.16666666666666666,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
2,MPT-30b,edpResults,7,0.0,0.9,-4,0.0,0.15,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', False]",False
3,MPT-30b,edpResults,8,0.0,1.0,-4,0.0,0.16666666666666666,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
4,MPT-30b,edpResults,9,0.0,1.0,-4,0.0,0.16666666666666666,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
5,MPT-30b,edpResults,10,0.0,0.8,-4,0.0,0.13333333333333333,"['failed', False, 'failed', 'failed', 'failed', 'failed', False, 'failed', 'failed', 'failed']",False
0,Phi-2,edpResults,1,0.5,0.1,3,0.00909090909090909,0.01,"[False, True, 'failed', False, True, False, True, True, True, False]",False
1,Phi-2,edpResults,2,0.0,0.0,3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
2,Phi-2,edpResults,3,0.0,0.0,3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
3,Phi-2,edpResults,4,0.0,0.0,3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
4,Phi-2,edpResults,5,0.0,0.0,3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
5,Phi-2,edpResults,6,0.0,0.0,3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",False
